action_part,grasp_part,attachment,geo_score,att_score
red_cylinder_magnetic.ply,square_cardboard.ply,None,1.306720e+00,Inf
screwdriver_large.ply,white_bread.ply,None,1.310293e+00,Inf
steel_bowl.ply,square_plastic.ply,None,1.364252e+00,Inf
screwdriver_large.ply,square_plastic.ply,None,1.378608e+00,Inf
foam_triangle.ply,white_bread.ply,None,1.387985e+00,Inf
steel_bowl.ply,square_cardboard.ply,None,1.398909e+00,Inf
screwdriver_large.ply,square_cardboard.ply,None,1.410959e+00,Inf
foam_triangle.ply,square_plastic.ply,None,1.454209e+00,Inf
plastic_handle.ply,white_bread.ply,None,1.474631e+00,Inf
foam_triangle.ply,square_cardboard.ply,None,1.482925e+00,Inf
plastic_handle.ply,square_plastic.ply,None,1.539059e+00,Inf
plastic_handle.ply,square_cardboard.ply,None,1.565550e+00,Inf
